City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,straldzha,42.6,26.6833,14.0,94,47,3.36,BG,1685228750
142,st. john's,47.5649,-52.7093,7.66,88,75,6.17,CA,1685228596
143,ingeniero guillermo n. juarez,-23.9,-61.85,17.72,89,100,8.01,AR,1685228751
144,shimoda,34.6667,138.95,22.28,68,62,2.75,JP,1685228751
145,brisas de zicatela,15.8369,-97.0419,31.29,70,75,3.6,MX,1685228751
146,nagqu,31.5,92.0,1.27,80,98,1.37,CN,1685228751
147,polyarnyy,69.1989,33.4478,5.94,55,32,5.38,RU,1685228751
148,dunedin,-45.8742,170.5036,12.11,70,75,2.68,NZ,1685228617
149,eyl,7.9803,49.8164,27.27,82,58,6.7,SO,1685228752
150,dul'durga,50.6761,113.5931,9.35,47,99,1.08,RU,1685228752
151,khromtau,50.2503,58.4347,17.06,41,55,3.21,KZ,1685228752
152,iskateley,67.6803,53.1512,7.38,73,87,2.86,RU,1685228752
153,ribeira grande,38.5167,-28.7,17.65,82,85,6.26,PT,1685228752
154,timaru,-44.4,171.25,13.17,66,99,1.86,NZ,1685228661
155,minot,48.2325,-101.2963,25.12,57,0,6.17,US,1685228672
156,severo-yeniseyskiy,60.3725,93.0408,3.6,78,44,1.75,RU,1685228753
157,zheleznodorozhnyy,55.7503,38.0042,11.75,67,37,4.53,RU,1685228758
158,aasiaat,68.7098,-52.8699,-4.58,70,96,5.69,GL,1685228608
159,bel ombre,-4.6167,55.4167,27.91,74,40,6.17,SC,1685228758
160,newman,37.3138,-121.0208,30.03,29,0,1.79,US,1685228758
161,tsiombe,-25.3,45.4833,19.76,91,100,2.0,MG,1685228758
162,carnarvon,-24.8667,113.6333,19.6,31,100,6.05,AU,1685228759
163,goris,41.9842,44.1158,14.11,78,72,0.6,GE,1685228759
164,dryden,49.7833,-92.7503,28.16,18,0,6.69,CA,1685228759
165,chapada dos guimaraes,-15.4606,-55.7497,22.81,49,38,2.05,BR,1685228759
166,suratgarh,29.3167,73.9,29.02,51,3,4.48,IN,1685228759
167,desnogorsk,54.1508,33.2815,7.14,67,5,3.7,RU,1685228759
168,ciudad lazaro cardenas,17.9583,-102.2,30.63,60,1,3.86,MX,1685228759
169,tangalle,6.024,80.7911,26.31,86,8,5.32,LK,1685228759
170,port alfred,-33.5906,26.891,15.88,40,0,3.67,ZA,1685228760
171,stanley,54.868,-1.6985,12.16,85,20,2.06,GB,1685228760
172,ust-nera,64.5667,143.2,8.28,56,16,0.51,RU,1685228760
173,lihue,21.9789,-159.3672,26.77,68,0,4.63,US,1685228760
174,bakanas,44.8081,76.2772,15.45,63,15,1.47,KZ,1685228760
175,dwarka,22.2394,68.9678,27.9,88,15,7.63,IN,1685228760
176,pupiales,0.8714,-77.6403,16.08,67,20,4.12,CO,1685228761
177,verdal,63.7933,11.4817,9.02,81,100,6.06,NO,1685228761
178,barra do corda,-5.5,-45.25,24.37,87,60,0.85,BR,1685228617
179,bodo,67.28,14.405,7.19,92,75,3.6,NO,1685228619
180,sinop,41.7711,34.8709,13.49,90,68,2.28,TR,1685228761
181,klyuchi,52.2667,79.1667,7.73,54,29,3.87,RU,1685228761
182,vallenar,-28.5708,-70.7581,18.26,39,38,0.78,CL,1685228521
183,itatiaia,-22.4961,-44.5633,19.49,75,41,0.86,BR,1685228572
184,chabahar,25.2919,60.643,30.6,67,0,7.43,IR,1685228762
185,cestos city,5.46,-9.5828,27.19,83,86,3.2,LR,1685228763
186,xining,36.6167,101.7667,8.37,88,100,1.65,CN,1685228764
187,saudarkrokur,65.7461,-19.6394,3.92,80,14,7.76,IS,1685228527
188,vernon,50.2581,-119.2691,29.86,30,72,1.79,CA,1685228466
189,axim,4.8699,-2.2405,26.19,88,100,2.22,GH,1685228765
190,enewetak,11.3474,162.3373,27.52,80,100,7.13,MH,1685228765
191,ambodifotatra,-16.9833,49.85,25.59,73,46,5.54,MG,1685228766
192,saipan,15.1355,145.701,29.39,100,40,7.72,MP,1685228767
193,vila franca do campo,37.7167,-25.4333,17.23,83,82,4.14,PT,1685228767
194,arawa,-6.2132,155.5367,29.45,71,51,0.98,PG,1685228767
195,al qubbah,32.7616,22.2424,14.28,91,21,8.63,LY,1685228768
196,tulum,20.2167,-87.4667,28.13,65,87,3.07,MX,1685228769
197,buala,-8.145,159.5921,28.75,76,25,2.74,SB,1685228769
198,kourou,5.1552,-52.6478,25.03,88,91,2.1,GF,1685228769
199,kerikeri,-35.2268,173.9474,18.28,88,38,1.34,NZ,1685228769
200,college,64.8569,-147.8028,19.49,32,40,2.57,US,1685228666
201,suoyarvi,62.0833,32.35,5.08,61,4,1.45,RU,1685228770
202,puerto lempira,15.2667,-83.7667,29.49,65,88,5.07,HN,1685228771
203,kurchatov,51.6601,35.6521,14.23,87,89,5.46,RU,1685228771
204,mermoz boabab,14.7065,-17.4758,27.31,83,0,7.2,SN,1685228771
205,san martin,-33.081,-68.4681,8.3,35,47,2.76,AR,1685228772
206,siracusa,37.0881,15.2792,17.65,81,8,3.28,IT,1685228557
207,laguna,38.421,-121.4238,28.43,49,0,3.6,US,1685228773
208,chanal,16.7167,-92.4,19.96,51,73,1.85,MX,1685228773
209,waingapu,-9.6567,120.2641,23.51,78,8,3.37,ID,1685228773
210,boyolangu,-8.1181,111.8935,22.72,86,84,1.95,ID,1685228774
211,selfoss,63.9331,-20.9971,5.02,81,81,5.05,IS,1685228775
212,kovdor,67.5662,30.4758,3.45,57,33,3.66,RU,1685228775
213,saint-francois,46.4154,3.9054,15.38,82,0,0.51,FR,1685228530
214,rota,36.6224,-6.3586,19.07,82,20,3.09,ES,1685228776
215,lencois paulista,-22.5986,-48.8003,25.27,66,9,1.41,BR,1685228777
216,saint-louis du nord,19.9333,-72.7167,28.94,73,51,1.97,HT,1685228778
217,merizo village,13.2658,144.6691,26.85,82,100,6.7,GU,1685228778
218,pacific grove,36.6177,-121.9166,21.23,77,0,5.14,US,1685228779
219,bereznik,62.8551,42.7072,9.05,57,99,3.27,RU,1685228779
220,fonte boa,-2.4959,-66.2662,24.29,96,78,0.52,BR,1685228780
221,new norfolk,-42.7826,147.0587,11.07,67,91,0.45,AU,1685228780
222,colares,38.7992,-9.4469,18.2,84,14,4.47,PT,1685228781
223,raja,8.4596,25.678,22.98,82,100,2.5,SS,1685228783
224,guamuchil,25.4667,-108.1,33.15,19,4,5.5,MX,1685228783
225,rio grande,-32.035,-52.0986,15.06,65,36,7.86,BR,1685228785
226,kalmunai,7.4167,81.8167,27.17,81,11,1.24,LK,1685228785
227,lerwick,60.1545,-1.1494,9.0,73,14,8.34,GB,1685228786
228,pandan,14.0453,124.1694,28.2,80,99,9.58,PH,1685228787
229,floro,61.5996,5.0328,7.98,81,100,12.35,NO,1685228787
230,de queen,34.0379,-94.3413,27.88,30,48,3.09,US,1685228791
231,san julian,21.0167,-102.1667,28.66,22,59,4.36,MX,1685228791
232,papao,-17.75,-149.55,29.82,75,4,9.98,PF,1685228791
233,manavalakurichi,8.1333,77.3,27.62,72,82,5.51,IN,1685228792
234,florence,43.7667,11.25,19.29,59,0,1.03,IT,1685228617
235,kawambwa,-9.7915,29.0791,14.69,63,20,2.99,ZM,1685228792
236,ta`u,-14.2336,-169.5144,28.13,76,71,4.88,AS,1685228793
